,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000005339,2557.038488,0.074758003,0.110379922,0.446146084,0.733051214
ENSG00000005379,152.2300309,-0.139225691,0.195085951,0.312087955,0.615314646
ENSG00000005381,4.502993917,0.000220296,0.25199686,0.999414803,0.999918478
ENSG00000005436,257.2098111,-0.11780947,0.127944519,0.289957583,0.591500196
ENSG00000005448,232.319303,-0.245247984,0.15303892,0.053708959,0.210494551
ENSG00000005469,422.0993002,0.123613273,0.206554178,0.368720332,0.669603202
ENSG00000005471,33.66303018,0.837652713,0.526720925,0.005103875,0.03719505
ENSG00000005483,1697.296942,-0.071894987,0.103735253,0.449319134,0.734947185
ENSG00000005486,850.23155,0.076141591,0.142171685,0.524590646,0.788263115
ENSG00000005513,4.43369403,0.086956575,0.268143126,0.259455422,0.557134577
ENSG00000005700,1158.161846,0.04116036,0.120367261,0.702148806,0.893442191
ENSG00000005801,210.5312094,0.242175228,0.155776607,0.059514697,0.225476322
ENSG00000005810,2420.401921,0.017865272,0.091376179,0.828602811,0.944465393
ENSG00000005812,1409.28914,-0.397835428,0.168158447,0.004517062,0.033886379
ENSG00000005882,642.2616165,0.049011482,0.117983231,0.641686749,0.858282675
ENSG00000005884,1284.635517,-0.186456003,0.236071565,0.201185729,0.482382458
ENSG00000005889,786.8107871,-0.052597061,0.166235356,0.680447178,0.881554742
ENSG00000005893,5169.636498,-0.061813307,0.081655101,0.424124837,0.715910713
ENSG00000005955,1427.866309,-0.091379043,0.098133224,0.31362679,0.617337739
ENSG00000005961,8.38966138,0.032422112,0.243393946,0.722940942,0.902696277
ENSG00000006007,2203.992302,-0.136698031,0.12121147,0.201215993,0.48239118
ENSG00000006015,372.3686278,0.02464343,0.196537536,0.850805395,0.951981802
ENSG00000006016,146.2384749,-0.052010058,0.230985157,0.643802293,0.859531869
ENSG00000006025,160.2799509,0.799683341,0.265912429,0.000211472,0.002857005
ENSG00000006042,3087.162265,0.025175775,0.091545502,0.768802546,0.920642192
ENSG00000006062,196.8719998,0.455991245,0.271238465,0.014455827,0.08240913
ENSG00000006114,995.847187,0.487608326,0.102696024,4.43E-07,1.31E-05
ENSG00000006118,433.92497,0.39447432,0.19572712,0.010516543,0.065271742
ENSG00000006125,6741.491769,-0.038163916,0.0988707,0.675281021,0.878820936
ENSG00000006194,552.2567445,-0.087873354,0.10951775,0.374467913,0.675115453
ENSG00000006210,9.608905786,-0.129591065,0.293892703,0.105887625,0.329446351
ENSG00000006282,1369.823895,0.082465946,0.140662194,0.487888919,0.763725533
ENSG00000006283,62.95833913,0.711442435,0.827812819,0.011716107,0.070659359
ENSG00000006327,558.9005556,0.054249017,0.202129516,0.676252865,0.879264616
ENSG00000006432,5.142610802,0.02739448,0.248094914,0.731866523,0.906427796
ENSG00000006451,1095.486722,0.484415525,0.197168986,0.002471469,0.021393029
ENSG00000006453,151.8943452,0.146814058,0.155053412,0.244957223,0.540678608
ENSG00000006459,395.7080368,-0.007193748,0.176212708,0.954674219,0.987020879
ENSG00000006468,199.7416572,0.101297746,0.221414728,0.441803497,0.729144306
ENSG00000006530,309.1617276,-0.003901801,0.11313759,0.971277804,0.992152964
ENSG00000006534,1142.458688,-0.226666099,0.243390393,0.135606023,0.382941568
ENSG00000006576,1070.398063,0.328898742,0.199995835,0.030545866,0.142538454
ENSG00000006606,4.025151609,0.010009095,0.247435366,0.898709047,NA
ENSG00000006607,877.9206798,-0.52025053,0.178432532,0.000581972,0.006635691
ENSG00000006625,194.1916821,0.088267812,0.170347899,0.509550504,0.780150974
ENSG00000006634,85.46263282,0.278081584,0.165143871,0.038432425,0.166375208
ENSG00000006638,65.75142057,0.475422937,0.271482057,0.011601049,0.070152272
ENSG00000006652,1074.475907,0.032938454,0.160360726,0.796114634,0.93203288
ENSG00000006695,184.2204793,-0.168785287,0.160754302,0.191030362,0.467878473
ENSG00000006704,281.0154473,0.133557411,0.162262607,0.295621077,0.597741858
ENSG00000006712,1101.182974,0.176602648,0.120526331,0.098571572,0.314515882
