,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000132963,1017.672821,-0.326141728,0.144539256,0.008476515,0.055082149
ENSG00000132964,279.6595721,-0.064400067,0.154694779,0.605393576,0.837130263
ENSG00000132965,12.57283064,-1.121717759,0.790451605,0.004773064,0.035367527
ENSG00000132967,1261.164863,0.142477643,0.115231285,0.168594483,0.435137345
ENSG00000132970,1322.785159,-1.079281928,0.11898175,9.12E-21,2.85E-18
ENSG00000133026,14474.22128,-0.372553381,0.304584567,0.039589362,0.16951572
ENSG00000133027,199.9580887,-0.375946162,0.245109404,0.027079755,0.131037373
ENSG00000133028,383.8432991,-0.076657304,0.141869417,0.518984603,0.786091803
ENSG00000133030,4718.086671,0.006563861,0.096130117,0.942459498,0.982584238
ENSG00000133048,305.0601399,0.008177186,0.251197814,0.907235787,0.971786811
ENSG00000133055,3.769213465,-0.01028824,0.250225658,0.879054906,NA
ENSG00000133056,190.0743035,0.063858356,0.235331857,0.573710078,0.81854666
ENSG00000133059,1628.213555,0.395077195,0.141243522,0.001418867,0.013693631
ENSG00000133065,1233.462393,-0.102416378,0.132733139,0.3688796,0.669692744
ENSG00000133069,144.070341,0.987714878,0.189482188,1.45E-08,6.32E-07
ENSG00000133083,529.2263686,0.027964978,0.251764409,0.695982332,0.890285385
ENSG00000133101,2.401763872,-0.030469351,0.255763375,0.594088245,NA
ENSG00000133103,613.2105118,0.520655386,0.146997169,7.12E-05,0.001127662
ENSG00000133104,2383.352514,-0.382105753,0.149074695,0.002856277,0.023874371
ENSG00000133106,214.9728042,-0.561385964,0.213566141,0.001157772,0.01164651
ENSG00000133107,19.10616992,0.035381152,0.249233783,0.661501895,0.870394742
ENSG00000133110,4035.386622,0.129700581,0.292741441,0.118190452,0.35206452
ENSG00000133111,66.24884566,0.20914018,0.247482415,0.161644003,0.424313691
ENSG00000133112,28755.17274,-0.080698217,0.116269664,0.437571008,0.72602564
ENSG00000133114,402.6462989,0.120093767,0.112952131,0.236882316,0.531862303
ENSG00000133116,6.885369947,0.012887336,0.251624596,0.844074997,0.949655049
ENSG00000133119,74.00430664,0.025711512,0.156790787,0.838013638,0.947235655
ENSG00000133121,1017.476017,-0.595196338,0.16946978,6.15E-05,0.000994384
ENSG00000133131,853.9805519,0.190949264,0.129851673,0.090868233,0.298426353
ENSG00000133134,1.989350235,0.04045601,0.258940163,0.444456564,NA
ENSG00000133135,33.00370709,0.062135878,0.233493034,0.586657344,0.825384104
ENSG00000133136,7.093759002,0.016142451,0.239347213,0.866012773,0.95611992
ENSG00000133138,521.505862,0.182513074,0.140883306,0.126701526,0.367213494
ENSG00000133142,3055.930898,-1.517641751,0.157491649,3.54E-23,1.36E-20
ENSG00000133169,4.294921822,-0.089083464,0.277170058,0.105494986,0.328954667
ENSG00000133193,312.1890195,0.04117627,0.122277393,0.703908854,0.8942372
ENSG00000133195,270.9180137,0.050615572,0.192051241,0.703123696,0.893880546
ENSG00000133216,344.0468305,1.568485261,0.398371252,4.15E-06,9.56E-05
ENSG00000133226,1511.985138,0.067349836,0.07028044,0.319493136,0.623194225
ENSG00000133243,1769.163886,-0.111598475,0.095924227,0.209271095,0.493924495
ENSG00000133246,3.538930556,0.010108566,0.251251229,0.878982132,NA
ENSG00000133247,68.78994955,0.369877063,0.201191877,0.016984862,0.093105823
ENSG00000133250,125.8078563,0.040958769,0.172951797,0.753476566,0.915051277
ENSG00000133256,21.83446561,0.005120172,0.226044993,0.965294731,0.989940531
ENSG00000133265,377.1095095,-0.046956222,0.129645868,0.675340664,0.878823634
ENSG00000133275,1024.860329,-0.045479903,0.09308776,0.600008521,0.83431993
ENSG00000133302,126.6265526,-0.196952136,0.178409666,0.149563176,0.405796827
ENSG00000133313,958.4521491,-0.132683669,0.09390315,0.12840316,0.370113802
ENSG00000133315,144.8369384,0.011663998,0.157502864,0.927474189,0.977654274
ENSG00000133316,208.9734718,-0.26503674,0.142457413,0.029113562,0.137823463
ENSG00000133318,3522.044511,-0.137166488,0.141962475,0.247812498,0.543340074
ENSG00000133321,425.9994627,0.265921843,0.264419102,0.096922164,0.311318168
ENSG00000133392,119.3289144,-0.034966235,0.256826866,0.535409724,0.794442451
ENSG00000133393,676.725914,-0.035249349,0.101692723,0.707296402,0.895816479
ENSG00000133398,471.7238267,-0.196918706,0.112491444,0.051696029,0.205029981
ENSG00000133401,90.81059417,-1.064568338,0.346156963,0.000121451,0.001776592
ENSG00000133422,754.5580695,-0.085031203,0.090591063,0.315550757,0.618527997
ENSG00000133424,877.0654815,0.226861324,0.198324873,0.118814033,0.353109224
ENSG00000133433,206.1199127,-0.033315063,0.248416317,0.67681812,0.879450831
ENSG00000133460,141.4431983,0.226696229,0.190462132,0.111734721,0.34010382
ENSG00000133466,266.883041,0.542585833,0.201252397,0.0010276,0.010585142
ENSG00000133475,3.168582919,0.030255561,0.251316581,0.679460782,NA
ENSG00000133488,4.723323622,-0.032175882,0.255882558,0.579929209,0.821744377
ENSG00000133597,236.8223794,-0.326509675,0.212794041,0.036340472,0.160619744
ENSG00000133606,2057.920536,-0.149787125,0.122041781,0.163629517,0.427551716
ENSG00000133612,1119.882291,-0.090198609,0.132963013,0.42939826,0.720017962
ENSG00000133619,214.7343485,0.18068958,0.147135979,0.142205192,0.394379654
ENSG00000133624,269.6329795,0.11828474,0.107348451,0.225764972,0.516241827
ENSG00000133627,78.48376909,0.028671855,0.155919529,0.819182073,0.941466902
ENSG00000133639,1327.627776,-0.398157196,0.134177785,0.000830396,0.008892458
ENSG00000133640,3.776260386,0.090423602,0.274060298,0.17787597,NA
ENSG00000133641,265.9096785,-0.544193283,0.127050368,3.23E-06,7.76E-05
ENSG00000133657,4470.474809,-0.152180277,0.138654836,0.195699102,0.474819958
ENSG00000133661,7.881094823,-0.012436453,0.248990069,0.862159602,0.955415656
ENSG00000133678,271.0436858,0.028155735,0.13462035,0.808030574,0.9361229
ENSG00000133687,5711.79268,-0.379526252,0.322694568,0.038573856,0.166854782
ENSG00000133703,683.1652087,0.003615074,0.115244954,0.97325926,0.992847035
ENSG00000133704,1384.01443,0.072477561,0.09339634,0.405886927,0.700582237
ENSG00000133706,1744.806572,-0.007906587,0.106087555,0.937255115,0.981380639
ENSG00000133731,298.867565,-0.293010554,0.149234244,0.02003006,0.104940599
ENSG00000133739,175.7686031,0.001723157,0.146940882,0.989836766,0.99759899
ENSG00000133740,64.54148615,0.122270147,0.182565017,0.364711433,0.666026948
ENSG00000133773,260.9801239,0.009531189,0.121557261,0.919096425,0.975925749
ENSG00000133789,3758.854464,-0.604019804,0.174764003,7.30E-05,0.001151825
ENSG00000133794,278.088644,-0.661961901,0.170400845,1.23E-05,0.000251268
ENSG00000133800,7.592640305,-0.121102901,0.277496327,0.206686331,0.490250886
ENSG00000133805,790.9421839,-0.196735814,0.21996569,0.178581169,0.450105041
ENSG00000133808,3.713986418,-0.1117756,0.280810384,0.165480945,NA
ENSG00000133812,2610.554982,-0.17069354,0.144323868,0.157278664,0.41804835
ENSG00000133816,1756.110851,-0.989116034,0.284534669,3.36E-05,0.000591862
ENSG00000133818,2959.396404,-0.559226618,0.189297892,0.000450357,0.00540697
ENSG00000133835,2500.034389,-0.229961532,0.090352759,0.006460295,0.044723409
ENSG00000133858,2113.675099,-0.265967347,0.105656338,0.005923025,0.041672791
ENSG00000133863,1.886660325,-0.003902286,0.256817223,0.921768565,NA
ENSG00000133872,2572.203264,0.081656387,0.111207291,0.409887986,0.704347969
ENSG00000133874,117.6556981,0.26192617,0.282240327,0.100878336,0.319736322
ENSG00000133878,2.556970125,-0.007883843,0.252533837,0.895643627,NA
ENSG00000133884,1058.106083,0.154953358,0.083734756,0.049940812,0.199818394
ENSG00000133895,667.8694361,-0.059181511,0.114501044,0.563587086,0.811926213
ENSG00000133935,356.2405362,0.155100625,0.150483734,0.211733606,0.49772645
ENSG00000133937,2.332417695,0.0028189,0.254918503,0.956542111,NA
ENSG00000133943,538.8860527,0.837247087,0.157469708,9.75E-09,4.43E-07
ENSG00000133958,14.71418667,0.081367929,0.238876869,0.482210033,0.759669493
ENSG00000133961,1628.363977,-0.181291139,0.094292794,0.038406317,0.166301922
ENSG00000133983,128.6577872,-0.237172647,0.16814544,0.077576997,0.268936557
ENSG00000133985,3.991900814,0.006670101,0.246795057,0.933533334,NA
ENSG00000133997,228.167809,-0.00139725,0.121124811,0.98866401,0.997084495
ENSG00000134001,1022.821235,-0.16835291,0.114085712,0.099791167,0.317289676
ENSG00000134013,2691.924407,0.39151584,0.332259245,0.037020034,0.162430999
ENSG00000134014,561.9079418,-0.068712786,0.108399201,0.484534741,0.761489864
ENSG00000134020,13.99867166,-0.298278117,0.384290531,0.062851993,0.233817158
ENSG00000134028,4.136226886,0.032544465,0.25241676,0.642214986,NA
ENSG00000134030,2084.23063,-0.136406702,0.109158617,0.167200778,0.43304882
ENSG00000134042,2.790948238,-0.065035503,0.264987267,0.265308383,NA
ENSG00000134046,1395.545071,-0.502708351,0.125315507,1.19E-05,0.00024262
ENSG00000134049,358.6982481,-0.254439183,0.14627356,0.039224201,0.168454947
ENSG00000134056,286.6043415,-0.506672881,0.120879141,5.29E-06,0.000118802
ENSG00000134057,113.0458441,-0.101916876,0.169904694,0.43347367,0.723641687
ENSG00000134058,477.9483667,-0.296282235,0.134736307,0.011514396,0.069791697
ENSG00000134070,46.66576035,0.818258168,0.353646265,0.001482774,0.014183428
ENSG00000134072,47.12100572,-0.025581951,0.193031414,0.842376985,0.948443251
ENSG00000134077,550.9504268,-0.010075403,0.100515072,0.913142695,0.974034887
ENSG00000134086,640.4337189,0.030660917,0.083408856,0.698718449,0.891770492
ENSG00000134107,326.1104526,0.186839852,0.30157258,0.144973069,0.398918148
ENSG00000134108,2366.027242,-0.252946543,0.093462133,0.003681202,0.0289808
ENSG00000134109,1179.751648,-0.306358966,0.137848708,0.01053836,0.06531764
ENSG00000134121,120.0131567,-0.11048378,0.285645044,0.105664392,0.329260713
ENSG00000134138,699.8056861,0.62480689,0.314487296,0.004358764,0.03298056
ENSG00000134146,77.21862634,-0.233265145,0.179702009,0.093311899,0.303724699
ENSG00000134152,355.7061927,-0.2154323,0.123355252,0.047704731,0.19394124
ENSG00000134153,991.1690235,-0.188839389,0.137508925,0.107555788,0.332637112
ENSG00000134183,8.205509427,0.057384668,0.251776678,0.511125797,0.781275685
ENSG00000134184,19.06820159,0.117425495,0.244502976,0.34814893,0.652006361
ENSG00000134186,1115.951953,-0.121685131,0.119844532,0.251389458,0.547934244
ENSG00000134198,15.85960822,0.112604872,0.278004655,0.194683382,0.473299122
ENSG00000134201,409.7923788,0.311878757,0.352527742,0.065026213,0.238961442
ENSG00000134202,776.499332,0.228241641,0.188066299,0.107953975,0.333399257
ENSG00000134222,81.27724436,-0.106489016,0.193081305,0.430065204,0.720700333
ENSG00000134242,5.425038186,-1.109854837,1.420321581,0.008296507,0.054164981
ENSG00000134243,5510.879419,-2.158007619,0.271558185,9.67E-17,1.77E-14
ENSG00000134245,255.3726938,-0.113145965,0.206185298,0.401298441,0.696722017
ENSG00000134247,1274.188719,0.605692811,0.296681721,0.004179335,0.031894278
ENSG00000134248,582.6003405,-0.268696611,0.121696592,0.013113668,0.076936636
ENSG00000134250,10619.78123,-0.088705241,0.128803627,0.423520736,0.715424259
ENSG00000134253,136.9178438,1.922762642,0.214681481,1.51E-20,4.41E-18
ENSG00000134255,743.7293475,0.182646115,0.121016884,0.08833534,0.293108306
ENSG00000134256,2.384960632,0.032290534,0.257600487,0.533533347,NA
ENSG00000134258,2.101991003,0.106580493,0.291411282,0.005936193,NA
ENSG00000134259,45.11951426,1.00363616,0.529585893,0.002515615,0.021692238
ENSG00000134262,132.2522041,-0.023751795,0.129212471,0.83140118,0.945330525
ENSG00000134265,465.9517849,-0.392026341,0.112347227,0.000141434,0.002032013
ENSG00000134278,588.367141,0.133193515,0.156768694,0.29375926,0.595372695
ENSG00000134283,838.4810169,-0.155195127,0.09926934,0.091243362,0.299195655
ENSG00000134285,253.0352821,-0.262769473,0.164718437,0.048969766,0.197169488
ENSG00000134287,2187.170715,-0.227640675,0.102298144,0.015339337,0.086243305
ENSG00000134291,549.9422979,0.148219877,0.153094265,0.236549099,0.531311683
ENSG00000134294,20597.00452,-1.189562328,0.178486445,2.28E-12,2.33E-10
ENSG00000134297,37.56632695,0.005768802,0.179036285,0.965714435,0.989940531
ENSG00000134308,6854.659512,-0.075558146,0.082378555,0.333011209,0.637485637
ENSG00000134313,3409.520559,0.037042703,0.121545244,0.732629816,0.906820432
ENSG00000134317,51.70947919,0.136080079,0.258303477,0.277059561,0.57721804
ENSG00000134318,4538.248686,-0.784313634,0.116273577,1.60E-12,1.71E-10
ENSG00000134321,5.49806676,0.151591116,0.326109637,0.006133981,0.042840918
ENSG00000134324,4592.712757,-0.51415074,0.219536144,0.002881903,0.024005262
ENSG00000134326,3.326939183,0.023098622,0.254109109,0.700767672,NA
ENSG00000134330,651.8553349,-0.128442982,0.116743208,0.217026445,0.505836628
ENSG00000134333,14135.91515,-0.805974184,0.237739513,5.40E-05,0.00088533
ENSG00000134343,59.05401714,-0.077445161,0.251836202,0.430397983,0.720963614
ENSG00000134352,39782.98463,-0.083753198,0.14169998,0.438735701,0.726760052
ENSG00000134363,2906.245155,1.672561039,0.325099909,1.53E-08,6.66E-07
ENSG00000134369,3817.601219,-0.057745145,0.156830507,0.643844038,0.859531869
ENSG00000134371,939.6454531,-0.286286575,0.091476588,0.000812832,0.008749903
ENSG00000134375,662.4908182,-0.108360214,0.136715847,0.351283424,0.654991954
ENSG00000134376,6.52674405,1.227601011,1.032753009,0.006660555,0.04570806
ENSG00000134398,1.965716821,0.020671092,0.256172641,0.679609012,NA
ENSG00000134419,1525.534693,0.03492841,0.119058286,0.74254174,0.91031457
ENSG00000134440,2718.891955,-0.062466548,0.091059087,0.456282628,0.740060195
ENSG00000134444,638.1989351,-0.120687416,0.084866,0.129659743,0.372391496
ENSG00000134452,1535.736846,-0.103095399,0.070999479,0.130167944,0.373200291
ENSG00000134453,1300.363574,-0.057139566,0.092106013,0.505889486,0.777374682
ENSG00000134461,84.49282466,0.041683037,0.154005499,0.738096186,0.909046929
ENSG00000134463,58.59180717,-0.07037545,0.246661376,0.488379673,0.763725533
ENSG00000134470,508.2324119,-0.112657209,0.211014131,0.403522324,0.698844656
ENSG00000134480,367.8285161,-0.236581148,0.168403488,0.078144518,0.270025602
ENSG00000134489,1.755787451,0.013331718,0.256115834,0.77361055,NA
ENSG00000134490,129.6740787,-0.199760007,0.161650344,0.12447193,0.363367378
ENSG00000134504,256.5863829,-0.098439578,0.171662949,0.450988375,0.736086161
ENSG00000134508,1062.172774,-0.736766492,0.230400132,0.000128801,0.001868278
ENSG00000134516,159.6161805,0.264476835,0.183309441,0.062553794,0.233090719
ENSG00000134531,5535.264422,-0.925262445,0.15864878,4.53E-10,2.83E-08
ENSG00000134532,146.9421505,-0.601022565,0.190779244,0.000213805,0.002877787
ENSG00000134533,9.301683701,-0.041485911,0.248507282,0.622994156,0.847610779
ENSG00000134539,7.856748127,0.098424401,0.270540661,0.243350599,0.539717664
ENSG00000134548,17.62211442,0.153248763,0.254054957,0.25203257,0.548741025
ENSG00000134551,4.120428289,0.11449241,0.278353416,0.195986161,NA
ENSG00000134569,66.17724192,0.24255513,0.297632856,0.114709574,0.344756693
ENSG00000134574,1040.825417,0.193819495,0.194723388,0.172133056,0.441031619
ENSG00000134575,501.4906936,-0.287267061,0.184584468,0.04492053,0.185423841
ENSG00000134590,4177.359356,-0.174667424,0.079362716,0.020351736,0.106134832
ENSG00000134594,11.59199911,0.312794674,0.425100596,0.053124058,0.209091583
ENSG00000134595,2.358098448,0.056586185,0.263673757,0.278188661,NA
ENSG00000134597,293.144675,0.188626495,0.118036987,0.073137823,0.257889827
ENSG00000134602,60.84655389,-0.21050076,0.265272253,0.155615202,0.415596675
ENSG00000134627,98.60708303,-0.187715842,0.251344134,0.192622184,0.470188105
ENSG00000134644,2301.840719,-0.079441883,0.090075662,0.345957919,0.650347431
ENSG00000134668,609.1967004,-0.05959901,0.168991161,0.643123275,0.859189173
ENSG00000134684,1227.454051,0.713067035,0.123606509,9.70E-10,5.73E-08
ENSG00000134686,2737.916883,-1.375677415,0.091660752,4.28E-52,1.94E-48
ENSG00000134690,28.05987862,-0.042714691,0.226281479,0.710105684,0.896445021
ENSG00000134697,976.8617358,-0.414388962,0.148607158,0.001320419,0.01295183
ENSG00000134698,658.4305964,-0.253271964,0.108186135,0.01009528,0.063327534
ENSG00000134709,2.649409812,-0.101737561,0.28350302,0.076614916,NA
ENSG00000134716,21.0792869,0.079816438,0.260241992,0.357291997,0.659977479
ENSG00000134717,775.5771645,-0.061711684,0.083644291,0.434742308,0.72398441
ENSG00000134744,846.82251,0.325999824,0.118712064,0.002308134,0.020240853
ENSG00000134748,467.8758871,0.112567312,0.110174986,0.259061982,0.556686743
ENSG00000134755,3.523551835,0.062299673,0.26454876,0.280667612,NA
ENSG00000134758,111.8707678,0.052734274,0.135804688,0.649764776,0.862978013
ENSG00000134759,1903.716127,0.088970815,0.085499367,0.270484238,0.56994219
ENSG00000134762,301.7217685,-0.168332181,0.324822974,0.061997059,0.23154276
ENSG00000134769,300.8928167,0.833479452,0.178830106,2.93E-07,9.08E-06
ENSG00000134775,2916.054428,-0.071901095,0.176778792,0.581530314,0.822129122
ENSG00000134779,2210.848572,0.200834807,0.148311313,0.104827136,0.327874055
ENSG00000134780,128.7065356,0.507322625,0.261270518,0.007305132,0.049071959
ENSG00000134802,360.3247315,0.240449777,0.207049259,0.104839344,0.327874055
ENSG00000134809,171.6222276,-0.012961372,0.172640002,0.918703613,0.975925749
ENSG00000134815,214.276812,0.166308884,0.190693129,0.233048389,0.526807851
ENSG00000134824,1747.447353,-0.018047316,0.197193077,0.866738195,0.95611992
ENSG00000134825,576.874115,-0.004688124,0.145443901,0.96759627,0.990818847
ENSG00000134851,1896.033684,-0.578136442,0.118383994,1.66E-07,5.54E-06
ENSG00000134852,850.5031088,0.013568314,0.092708664,0.876383193,0.96009471
ENSG00000134853,16356.75662,-0.478266789,0.219676487,0.004902544,0.036078466
ENSG00000134864,57.59980906,-0.113751626,0.182026067,0.394489733,0.692282983
ENSG00000134871,4201.859041,-0.819108941,0.203774337,5.13E-06,0.000115221
ENSG00000134874,1606.444127,0.381290265,0.129845249,0.000985667,0.010256935
ENSG00000134882,1283.00906,-0.087815048,0.098461389,0.321515116,0.625326134
ENSG00000134884,2165.728268,-0.049438782,0.093645349,0.576381552,0.819916999
ENSG00000134897,446.2874119,-0.107270193,0.134459456,0.351535776,0.655088834
ENSG00000134899,362.2769684,-0.084548391,0.106623289,0.383091368,0.682243813
ENSG00000134900,1742.315429,-0.162998885,0.124586319,0.135859424,0.383330506
ENSG00000134901,252.8581344,0.18946856,0.126638624,0.087337038,0.290804071
ENSG00000134905,880.419171,-0.286399329,0.140711706,0.018027393,0.096914624
ENSG00000134909,413.51564,0.275202098,0.125165049,0.013020544,0.076638467
ENSG00000134910,3348.72621,-0.054781326,0.108291463,0.576223943,0.819916999
ENSG00000134917,5869.356049,-0.064640251,0.223987544,0.57331621,0.818231044
ENSG00000134954,1057.952137,-0.165171774,0.129425125,0.14140631,0.393526592
ENSG00000134955,2.192989678,-0.013486084,0.25462735,0.802059639,NA
ENSG00000134970,1942.105747,-0.254477223,0.129419166,0.024533388,0.122040471
ENSG00000134982,1208.370742,-0.17163939,0.117824411,0.10415703,0.326642359
ENSG00000134986,577.7626053,0.519214724,0.180361926,0.000667069,0.007446267
ENSG00000134987,1075.087201,0.672306291,0.159180275,2.93E-06,7.11E-05
ENSG00000134996,374.5262907,-0.052209503,0.140625144,0.657874143,0.867887996
ENSG00000135002,664.5052841,-0.12284146,0.142535836,0.303507898,0.60644674
ENSG00000135018,2156.477527,-0.21737909,0.085096645,0.006670535,0.045741891
ENSG00000135040,396.4762264,0.137938981,0.111803637,0.171612935,0.440259351
ENSG00000135045,76.24273372,0.171926323,0.204138271,0.226939718,0.518012709
ENSG00000135046,9560.969071,-0.35719359,0.186793186,0.015595917,0.087234091
ENSG00000135047,5223.619349,-0.106431098,0.129773618,0.342846536,0.647078552
ENSG00000135048,940.0684062,-0.82766416,0.195471498,2.02E-06,5.11E-05
ENSG00000135049,236.2464415,-0.184996422,0.139743582,0.118810636,0.353109224
ENSG00000135052,1979.31712,0.317430455,0.124910205,0.004308515,0.03267366
ENSG00000135069,724.5665257,1.125777019,0.314632612,2.07E-05,0.000393468
ENSG00000135070,761.6042256,-0.50993235,0.103810203,1.77E-07,5.85E-06
ENSG00000135074,748.8900001,-0.419246422,0.206192727,0.008811292,0.056849778
ENSG00000135077,17.8206367,0.026976865,0.21686708,0.824919383,0.943303974
ENSG00000135083,5.639258437,0.115407872,0.280593099,0.177000411,0.447615273
ENSG00000135090,1359.730812,-0.34174366,0.090349244,5.66E-05,0.000923667
ENSG00000135093,325.207249,0.361007804,0.128966196,0.001653681,0.015451129
ENSG00000135100,11.59949138,-0.003112646,0.230368625,0.97489304,0.99331518
ENSG00000135108,1006.624158,0.140200569,0.099378562,0.125886678,0.365788122
ENSG00000135111,1793.518575,0.395016163,0.138975678,0.001240635,0.012325443
ENSG00000135114,3.861553612,0.060374893,0.258208021,0.417588029,NA
ENSG00000135116,2.926657526,0.084285176,0.269576733,0.228231819,NA
ENSG00000135119,5.121578769,0.051706543,0.251104704,0.541811722,0.798308634
ENSG00000135124,379.5128372,-0.006471603,0.149962782,0.956534723,0.987363454
ENSG00000135148,1039.496762,-0.038546564,0.138384109,0.741175819,0.909933069
ENSG00000135164,1204.184026,-0.083877645,0.123853218,0.440394151,0.728228084
ENSG00000135185,285.0729037,-0.280273162,0.181576718,0.047624545,0.193934341
ENSG00000135205,100.2944416,-0.152164442,0.168369025,0.246339003,0.541875615
ENSG00000135211,278.2933652,-0.14746108,0.190466398,0.282774603,0.583754272
ENSG00000135213,1276.099564,-0.092677372,0.098709541,0.308903167,0.611361009
ENSG00000135218,39.82138195,-0.061770266,0.234454116,0.582834549,0.822817231
ENSG00000135241,950.5608639,-0.480379541,0.14656038,0.000207879,0.002812651
ENSG00000135245,166.0989041,-0.081140998,0.213536904,0.532098596,0.792791543
ENSG00000135248,2.503972628,-0.056200136,0.260027104,0.387958731,NA
ENSG00000135249,314.9246732,0.027226661,0.119549082,0.798510341,0.933088999
ENSG00000135250,907.6114662,0.204931522,0.100161365,0.026361848,0.128589934
ENSG00000135253,4.503260106,0.159020615,0.315907538,0.074711669,0.261707523
ENSG00000135269,1268.218507,0.083643725,0.189607003,0.53297782,0.793219626
ENSG00000135272,1300.266163,-0.370441136,0.11618693,0.000451391,0.005415801
ENSG00000135297,318.2276274,0.168993299,0.130727515,0.136078889,0.383352703
ENSG00000135299,85.94235329,-0.000110133,0.23293685,0.998176975,0.999666791
ENSG00000135312,5.366975742,-0.090852599,0.280914745,0.041704058,0.17600094
ENSG00000135314,48.8992534,0.081437583,0.205943675,0.538425242,0.796362977
ENSG00000135315,326.0023222,0.325412668,0.122525643,0.003013782,0.024816201
ENSG00000135316,2435.697729,-0.159580768,0.096465953,0.072356456,0.256562228
ENSG00000135317,1147.27959,-0.118911865,0.113676587,0.242766793,0.538929431
ENSG00000135318,4217.435149,0.725255867,0.274583827,0.00072821,0.008020046
ENSG00000135324,2.342118528,-0.010388763,0.257992211,0.76085652,NA
ENSG00000135334,782.5632082,0.006665567,0.100246478,0.939927624,0.981875614
ENSG00000135336,673.1747783,-0.0250368,0.099355193,0.783989264,0.926162587
ENSG00000135338,234.0156521,0.06973491,0.122740384,0.519533395,0.786371227
ENSG00000135341,1476.776007,0.02889614,0.112429931,0.776476483,0.923971054
ENSG00000135346,2.312727501,-0.007028251,0.258315455,0.817981119,NA
ENSG00000135362,111.7555142,-1.491377644,0.200978134,7.60E-15,1.04E-12
ENSG00000135363,3.393773118,0.017045785,0.252200882,0.790266627,NA
ENSG00000135365,1361.949983,0.047410612,0.108481038,0.639662373,0.857463476
ENSG00000135372,782.9761488,-0.140034428,0.11731487,0.180218377,0.451826912
ENSG00000135378,14.59825207,-0.223805807,0.381747183,0.039597645,0.16951572
ENSG00000135387,5828.389176,0.143393836,0.084405142,0.071042304,0.253660509
ENSG00000135390,1816.232191,0.113166527,0.091102392,0.184070052,0.457174843
ENSG00000135392,350.855825,0.107371542,0.128347922,0.337284089,0.641665004
ENSG00000135404,22494.18429,0.135976958,0.112809847,0.180612207,0.452234274
ENSG00000135406,1.991795426,0.004564358,0.255032925,0.928174541,NA
ENSG00000135407,86.02214766,-0.177105963,0.191662133,0.20451695,0.486895782
ENSG00000135414,535.8900548,0.42077823,0.103755318,1.35E-05,0.000271716
ENSG00000135423,28.12708679,0.105365892,0.217399204,0.429979302,0.720686478
ENSG00000135424,2201.890818,0.367967629,0.211030686,0.019944603,0.104553348
ENSG00000135436,6.046587228,-0.048185024,0.244561954,0.610398559,0.840226725
ENSG00000135437,70.10245514,0.377668446,0.385446033,0.042633095,0.178875354
ENSG00000135439,3.188009862,0.02679305,0.251320922,0.703584862,NA
ENSG00000135441,74.03320488,0.030661939,0.190044883,0.814404916,0.939140904
ENSG00000135446,1024.23002,0.718087511,0.165832476,1.66E-06,4.26E-05
ENSG00000135451,6.749956249,-0.061178191,0.24876475,0.514170804,0.783247025
ENSG00000135452,424.399608,-0.283940144,0.137788773,0.016913704,0.092912548
ENSG00000135454,6.48687075,-0.090077677,0.26333182,0.316448157,0.619458807
ENSG00000135457,548.5765808,0.069919324,0.115475655,0.499708117,0.772543624
ENSG00000135469,113.7222939,0.029258171,0.167556618,0.819994438,0.941588139
ENSG00000135472,155.8341485,1.470093698,0.380419485,5.81E-06,0.000128567
ENSG00000135473,472.9636983,-0.122339851,0.132964026,0.284536934,0.585427205
ENSG00000135476,46.08522258,-0.011023773,0.184461476,0.930929235,0.978910264
ENSG00000135477,1.460653575,0.010027278,0.255368761,0.841777319,NA
ENSG00000135480,178.1842494,-0.114615897,0.278011395,0.197455349,0.476973141
ENSG00000135482,91.47137683,0.05959045,0.143942239,0.620181051,0.84583398
ENSG00000135486,11800.91269,-0.1207643,0.139056282,0.303953395,0.606734648
ENSG00000135502,19.97859235,-0.246502151,0.286929974,0.113898894,0.343379548
ENSG00000135503,738.1706964,-0.313444183,0.079024201,3.09E-05,0.00055146
ENSG00000135506,5673.560626,0.029427319,0.096632026,0.742151572,0.910263908
ENSG00000135519,3.364373114,0.023246168,0.254902631,0.688415286,NA
ENSG00000135521,323.4710386,-0.159822342,0.16444831,0.219854227,0.508892173
ENSG00000135525,42.46615781,0.082722925,0.226982844,0.507292326,0.778535796
ENSG00000135535,6845.416994,0.050671327,0.082518088,0.51785712,0.785434695
ENSG00000135537,72.53138249,-0.090133006,0.160130166,0.477088319,0.755322989
ENSG00000135540,602.3117085,-0.271214593,0.241794142,0.086136736,0.287880581
ENSG00000135541,434.6459826,0.431008105,0.136403756,0.000378531,0.004665208
ENSG00000135549,4.598631995,0.113346984,0.278453943,0.188670315,0.464358116
ENSG00000135577,3.48128885,0.073498969,0.265206599,0.277957895,NA
ENSG00000135587,78.29233732,0.056471702,0.15242281,0.649035137,0.862855741
ENSG00000135596,1341.452577,-0.39771265,0.117730176,0.000207138,0.002804724
ENSG00000135597,403.2369565,0.138451202,0.114239241,0.176693727,0.447615273
ENSG00000135604,21.33269924,-2.158137162,0.634502362,2.78E-05,0.000506016
ENSG00000135605,25.52415018,0.064442674,0.232998636,0.575237412,0.819406073
ENSG00000135617,168.0797598,0.125819261,0.188017721,0.354901779,0.657842801
ENSG00000135622,278.1518823,0.036475085,0.121784824,0.735706804,0.907894569
