query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
downregulated	FALSE	1	137	989	5	0.00505561172901921	0.0364963503649635	KEGG:04932	KEGG	Non-alcoholic fatty liver disease	17242	403
downregulated	FALSE	1	90	989	8	0.00808897876643074	0.0888888888888889	KEGG:04931	KEGG	Insulin resistance	17242	402
downregulated	FALSE	1	30	989	5	0.00505561172901921	0.166666666666667	KEGG:04930	KEGG	Type II diabetes mellitus	17242	401
downregulated	FALSE	1	40	989	4	0.00404448938321537	0.1	KEGG:04929	KEGG	GnRH secretion	17242	400
downregulated	FALSE	1	34	989	6	0.00606673407482305	0.176470588235294	KEGG:05030	KEGG	Cocaine addiction	17242	434
downregulated	FALSE	1	228	989	15	0.0151668351870576	0.0657894736842105	KEGG:05020	KEGG	Prion disease	17242	432
downregulated	FALSE	1	119	989	6	0.00606673407482305	0.0504201680672269	KEGG:05017	KEGG	Spinocerebellar ataxia	17242	431
downregulated	FALSE	1	264	989	12	0.0121334681496461	0.0454545454545455	KEGG:05016	KEGG	Huntington disease	17242	430
downregulated	FALSE	1	315	989	12	0.0121334681496461	0.0380952380952381	KEGG:05014	KEGG	Amyotrophic lateral sclerosis	17242	429
downregulated	FALSE	1	236	989	12	0.0121334681496461	0.0508474576271186	KEGG:05012	KEGG	Parkinson disease	17242	428
downregulated	FALSE	1	324	989	15	0.0151668351870576	0.0462962962962963	KEGG:05010	KEGG	Alzheimer disease	17242	427
downregulated	FALSE	1	38	989	4	0.00404448938321537	0.105263157894737	KEGG:04978	KEGG	Mineral absorption	17242	423
downregulated	FALSE	1	21	989	4	0.00404448938321537	0.19047619047619	KEGG:04975	KEGG	Fat digestion and absorption	17242	420
downregulated	FALSE	1	74	989	8	0.00808897876643074	0.108108108108108	KEGG:05142	KEGG	Chagas disease	17242	450
downregulated	FALSE	1	44	989	6	0.00606673407482305	0.136363636363636	KEGG:05140	KEGG	Leishmaniasis	17242	449
downregulated	FALSE	1	113	989	6	0.00606673407482305	0.0530973451327434	KEGG:05135	KEGG	Yersinia infection	17242	448
downregulated	FALSE	1	57	989	6	0.00606673407482305	0.105263157894737	KEGG:05133	KEGG	Pertussis	17242	446
downregulated	FALSE	1	219	989	15	0.0151668351870576	0.0684931506849315	KEGG:05132	KEGG	Salmonella infection	17242	445
downregulated	FALSE	1	210	989	9	0.00910010111223458	0.0428571428571429	KEGG:05131	KEGG	Shigellosis	17242	444
downregulated	FALSE	1	155	989	14	0.0141557128412538	0.0903225806451613	KEGG:05130	KEGG	Pathogenic Escherichia coli infection	17242	443
downregulated	FALSE	1	109	989	8	0.00808897876643074	0.073394495412844	KEGG:05034	KEGG	Alcoholism	17242	438
downregulated	FALSE	1	51	989	7	0.0070778564206269	0.137254901960784	KEGG:05032	KEGG	Morphine addiction	17242	436
downregulated	FALSE	1	167	989	7	0.0070778564206269	0.0419161676646707	KEGG:05170	KEGG	Human immunodeficiency virus 1 infection	17242	467
downregulated	FALSE	1	157	989	11	0.0111223458038423	0.0700636942675159	KEGG:05169	KEGG	Epstein-Barr virus infection	17242	466
downregulated	FALSE	1	135	989	5	0.00505561172901921	0.037037037037037	KEGG:05168	KEGG	Herpes simplex virus 1 infection	17242	465
downregulated	FALSE	1	147	989	13	0.01314459049545	0.0884353741496599	KEGG:05167	KEGG	Kaposi sarcoma-associated herpesvirus infection	17242	464
downregulated	FALSE	1	183	989	16	0.0161779575328615	0.087431693989071	KEGG:05166	KEGG	Human T-cell leukemia virus 1 infection	17242	463
downregulated	FALSE	1	265	989	25	0.0252780586450961	0.0943396226415094	KEGG:05165	KEGG	Human papillomavirus infection	17242	462
