GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0014848	urinary tract smooth muscle contraction	6	3	0.4	0.00507
GO:0010749	regulation of nitric oxide mediated sign...	6	3	0.4	0.00507
GO:0045605	negative regulation of epidermal cell di...	6	3	0.4	0.00507
GO:0008300	isoprenoid catabolic process	6	3	0.4	0.00507
GO:2001053	regulation of mesenchymal cell apoptotic...	6	3	0.4	0.00507
GO:1902042	negative regulation of extrinsic apoptot...	25	6	1.67	0.00510
GO:0034340	response to type I interferon	74	4	4.93	0.00513
GO:0050919	negative chemotaxis	39	8	2.6	0.00526
GO:2001222	regulation of neuron migration	40	7	2.67	0.00535
GO:0007187	G protein-coupled receptor signaling pat...	18	5	1.2	0.00537
GO:0030902	hindbrain development	120	14	8	0.00622
GO:0060384	innervation	21	6	1.4	0.00626
GO:0014850	response to muscle activity	26	6	1.73	0.00626
GO:0030890	positive regulation of B cell proliferat...	26	6	1.73	0.00626
GO:0048566	embryonic digestive tract development	24	6	1.6	0.00627
GO:0140059	dendrite arborization	12	4	0.8	0.00630
GO:0003198	epithelial to mesenchymal transition inv...	12	4	0.8	0.00630
GO:0043278	response to morphine	12	4	0.8	0.00630
GO:0003222	ventricular trabecula myocardium morphog...	12	4	0.8	0.00630
GO:0003214	cardiac left ventricle morphogenesis	12	4	0.8	0.00630
GO:0071679	commissural neuron axon guidance	12	4	0.8	0.00630
GO:0070234	positive regulation of T cell apoptotic ...	12	4	0.8	0.00630
GO:0007193	adenylate cyclase-inhibiting G protein-c...	43	8	2.87	0.00679
GO:0003407	neural retina development	54	9	3.6	0.00683
GO:0030833	regulation of actin filament polymerizat...	107	10	7.13	0.00692
GO:0001819	positive regulation of cytokine producti...	346	42	23.06	0.00696
GO:0045666	positive regulation of neuron differenti...	62	10	4.13	0.00746
GO:0009913	epidermal cell differentiation	127	20	8.47	0.00817
GO:0060603	mammary gland duct morphogenesis	29	6	1.93	0.00839
GO:0007409	axonogenesis	355	50	23.66	0.00840
GO:0048733	sebaceous gland development	7	3	0.47	0.00843
GO:0030916	otic vesicle formation	7	3	0.47	0.00843
GO:1902306	negative regulation of sodium ion transm...	7	3	0.47	0.00843
GO:0086015	SA node cell action potential	7	3	0.47	0.00843
GO:0060174	limb bud formation	7	3	0.47	0.00843
GO:0036022	limb joint morphogenesis	7	3	0.47	0.00843
GO:0042693	muscle cell fate commitment	7	3	0.47	0.00843
GO:0002634	regulation of germinal center formation	7	3	0.47	0.00843
GO:0032308	positive regulation of prostaglandin sec...	7	3	0.47	0.00843
GO:0019226	transmission of nerve impulse	41	11	2.73	0.00844
GO:0046579	positive regulation of Ras protein signa...	13	4	0.87	0.00862
GO:0044070	regulation of monoatomic anion transport	13	4	0.87	0.00862
GO:2001243	negative regulation of intrinsic apoptot...	94	11	6.27	0.00865
GO:2001259	positive regulation of cation channel ac...	20	5	1.33	0.00869
GO:0006644	phospholipid metabolic process	316	20	21.06	0.00891
GO:0060079	excitatory postsynaptic potential	65	9	4.33	0.00912
GO:0030154	cell differentiation	3161	312	210.72	0.00972
GO:0060322	head development	598	67	39.86	0.01027
GO:0006952	defense response	1241	129	82.73	0.01038
GO:0060441	epithelial tube branching involved in lu...	28	7	1.87	0.01072
GO:0035909	aorta morphogenesis	27	6	1.8	0.01077
GO:0090200	positive regulation of release of cytoch...	21	5	1.4	0.01080
GO:0032496	response to lipopolysaccharide	225	27	15	0.01080
GO:0060021	roof of mouth development	75	12	5	0.01099
GO:0030879	mammary gland development	112	16	7.47	0.01118
GO:0030224	monocyte differentiation	29	10	1.93	0.01121
GO:0045616	regulation of keratinocyte differentiati...	28	6	1.87	0.01139
GO:0050965	detection of temperature stimulus involv...	14	4	0.93	0.01145
GO:0050930	induction of positive chemotaxis	14	4	0.93	0.01145
GO:0110076	negative regulation of ferroptosis	14	4	0.93	0.01145
GO:0070374	positive regulation of ERK1 and ERK2 cas...	129	16	8.6	0.01177
GO:0009611	response to wounding	425	45	28.33	0.01242
GO:0001823	mesonephros development	75	13	5	0.01254
GO:0097553	calcium ion transmembrane import into cy...	114	15	7.6	0.01256
GO:0030510	regulation of BMP signaling pathway	82	13	5.47	0.01261
GO:0050951	sensory perception of temperature stimul...	19	6	1.27	0.01264
GO:0086009	membrane repolarization	35	7	2.33	0.01264
GO:0006940	regulation of smooth muscle contraction	39	9	2.6	0.01266
GO:0002687	positive regulation of leukocyte migrati...	110	13	7.33	0.01269
GO:0090520	sphingolipid mediated signaling pathway	14	3	0.93	0.01272
GO:0055057	neuroblast division	14	5	0.93	0.01276
GO:0048711	positive regulation of astrocyte differe...	8	3	0.53	0.01283
GO:0048505	regulation of timing of cell differentia...	8	3	0.53	0.01283
GO:0051386	regulation of neurotrophin TRK receptor ...	8	3	0.53	0.01283
GO:0003163	sinoatrial node development	8	3	0.53	0.01283
GO:0003157	endocardium development	8	3	0.53	0.01283
GO:0051798	positive regulation of hair follicle dev...	8	3	0.53	0.01283
GO:0007567	parturition	8	3	0.53	0.01283
GO:0003207	cardiac chamber formation	8	3	0.53	0.01283
