GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0051988	regulation of attachment of spindle micr...	23	0	1.56	1.00000
GO:0052651	monoacylglycerol catabolic process	7	0	0.48	1.00000
GO:0055021	regulation of cardiac muscle tissue grow...	47	0	3.2	1.00000
GO:0055022	negative regulation of cardiac muscle ti...	20	0	1.36	1.00000
GO:0055023	positive regulation of cardiac muscle ti...	25	0	1.7	1.00000
GO:0055064	chloride ion homeostasis	15	0	1.02	1.00000
GO:0055081	monoatomic anion homeostasis	16	0	1.09	1.00000
GO:0055129	L-proline biosynthetic process	6	0	0.41	1.00000
GO:0060009	Sertoli cell development	10	0	0.68	1.00000
GO:0060020	Bergmann glial cell differentiation	8	0	0.54	1.00000
GO:0060022	hard palate development	6	0	0.41	1.00000
GO:0060027	convergent extension involved in gastrul...	8	0	0.54	1.00000
GO:0060033	anatomical structure regression	8	0	0.54	1.00000
GO:0060037	pharyngeal system development	20	0	1.36	1.00000
GO:0060043	regulation of cardiac muscle cell prolif...	30	0	2.04	1.00000
GO:0060044	negative regulation of cardiac muscle ce...	8	0	0.54	1.00000
GO:0060045	positive regulation of cardiac muscle ce...	21	0	1.43	1.00000
